config_id,lr,weight_decay,batch_size,optimizer,scheduler,criterion,smoothl1_beta,k_folds,mean_best_val_loss,std_best_val_loss,fold_best_val_losses
0,0.0001,0.0,16,adamw,step,smoothl1,0.5,3,1.7108190648514299,0.09683770386626803,"[1.5905339172908237, 1.8276619366237095, 1.7142613406397562]"
1,0.0001,0.0,16,adamw,step,smoothl1,1.0,3,1.5065214440123251,0.15392114315787772,"[1.3790361279533023, 1.4174629302251907, 1.7230652738584824]"
2,0.0001,0.0001,16,adamw,step,smoothl1,0.5,3,1.6333114592564868,0.08762204581701805,"[1.7572021098363968, 1.5691833848044985, 1.5735488831285644]"
3,0.0001,0.0001,16,adamw,step,smoothl1,1.0,3,1.5945176860538943,0.21938219647163923,"[1.49772401537214, 1.38763808068775, 1.898190962101793]"
4,0.0005,0.0,16,adamw,step,smoothl1,0.5,3,1.8347082191711799,0.05350007699155069,"[1.770753996712821, 1.9016964776175362, 1.8316741831831829]"
5,0.0005,0.0,16,adamw,step,smoothl1,1.0,3,1.695163204220428,0.1743939424391428,"[1.601976424171811, 1.544001597449893, 1.9395115910395802]"
6,0.0005,0.0001,16,adamw,step,smoothl1,0.5,3,1.8438374629277021,0.10925894761601,"[1.9020610888799032, 1.6907749198731923, 1.9386763800300106]"
7,0.0005,0.0001,16,adamw,step,smoothl1,1.0,3,1.617216036132047,0.10825175524363262,"[1.6299551186107455, 1.4787255253110614, 1.7429674644743343]"
